"pupal_treatment","emergence_date","sex","adultID","weight","mateID","clutchID","age","green_eggs","orange_eggs","clutch_size","eggs_photographed","clutch_code","X.x","larval_treatment","egg_mean_1B","egg_mean_2A","notes.y","egg_mean_1A","clutch_ID","maternalID"
"warm","12/13/2025","F","WARM.WTH.74_P4_W",0.02,"WARM.WTH.138_P5_W","W.W.361","DONE",0,86,86,"DONE","9756","","warm",NA,NA,"",0.227183113,"W.W.361","74"
"warm","12/13/2025","F","WARM.WTH.23_P5_W",0.0305,"WARM.BLG.15_P7_W","W.W.363","66",2,145,147,"DONE","6338","","warm",NA,NA,"",0.23076659,"W.W.363","23"
"warm","12/13/2025","F","HOT.WTH.162_P6_W",0.0293,"HOT.WTH.106_P2_W","H.W.366","DONE",0,248,248,"DONE","7839","","hot",NA,NA,"",0.215589889,"H.W.366","162"
"warm","12/13/2025","F","WARM.WTH.64_P3_W",0.0211,"WARM.WTH.103_P8_W","W.W.368","DONE",20,0,20,"DONE","4423","","warm",NA,NA,"",0.203560622,"W.W.368","64"
"cool","12/13/2025","F","WARM.BLG.15_P1_C",0.0162,"WARM.WTH.70_P5_C","W.C.374","DONE",49,0,49,"DONE","6085","","warm",NA,NA,"",0.239267759,"W.C.374","15"
"cool","12/13/2025","F","CTRL.WTH.130_P5_C",0.0299,"CTRL.WTH.98_P3_C","A.C.375","DONE",211,0,211,"DONE","5547","","ambient",NA,NA,"",0.215354409,"A.C.375","130"
"hot","12/13/2025","F","HOT.WTH.162_P5_H",0.0295,"HOT.WTH.153_P3_H","H.H.378","DONE",1,139,140,"DONE","2947","","hot",NA,NA,"",0.223870036,"H.H.378","162"
"hot","12/13/2025","F","WARM.WTH.104_P3_H",0.0222,"WARM.WTH.98_P3_H","W.H.380","DONE",3,135,138,"DONE","6698","","warm",NA,NA,"",0.195506062,"W.H.380","104"
"hot","12/13/2025","F","HOT.GLF.16_P7_H",0.0207,"HOT.GLF.5.P6_H","H.H.381","DONE",0,180,180,"DONE","2959","","hot",NA,NA,"",0.21489753,"H.H.381","16"
"hot","12/13/2025","F","CTRL.GLF.16_P10_H",0.0205,"CTRL.GLF.5_P3_H","A.H.382","DONE",45,18,63,"DONE","1645","","ambient",NA,NA,"",0.21110772,"A.H.382","16"
"hot","12/13/2025","F","CTRL.WTH.64_P4_H",0.0291,"CTRL.WTH.114_P5_H","A.H.383","DONE",0,127,127,"DONE","2059","","ambient",NA,NA,"",0.195742255,"A.H.383","64"
"hot","12/13/2025","F","WARM.WTH.130_P1_H",0.0304,"WARM.WTH.123_P4_H","W.H.384","DONE",32,0,32,"DONE","4126","","warm",NA,NA,"",0.218994731,"W.H.384","130"
"hot","12/13/2025","F","HOT.WTH.60_P10_H",0.0279,"HOT.WTH.159_P3_H","H.H.387","DONE",2,232,234,"DONE","5083","","hot",NA,NA,"",0.199791208,"H.H.387","60"
"hot","12/13/2025","F","WARM.WTH.78_P7_H",0.0268,"WARM.WTH.139_P1_H","W.H.388","DONE",3,73,76,"DONE","4081","","warm",NA,NA,"",0.202095948,"W.H.388","78"
"hot","12/13/2025","F","WARM.WTH.103_P5_H",0.0256,"WARM.WTH.167_P4_H","W.H.389","DONE",2,69,71,"DONE","4493","","warm",NA,NA,"",0.192276119,"W.H.389","103"
"hot","12/13/2025","F","WARM.WTH.153_P3_H",0.0198,"WARM.WTH.153_P5_H","W.H.390","DONE",162,1,163,"DONE","6731","","warm",NA,NA,"",0.200171791,"W.H.390","153"
"hot","12/13/2025","F","WARM.WTH.102_P6_H",0.0176,"WARM.WTH.41_P5_H","W.H.391","DONE",8,63,71,"DONE","2203","","warm",NA,NA,"",0.191085615,"W.H.391","102"
"mean","12/13/2025","F","WARM.WTH.114_P6_M",0.0197,"WARM.WTH.103_P6_M","W.M.392","DONE",3,166,169,"DONE","5373","","warm",NA,NA,"",0.193890293,"W.M.392","114"
"mean","12/15/2025","F","MEAN.WTH.151_P1_M",0.0146,"MEAN.WTH.102_P1_M","M.M.394","DONE",5,77,82,"DONE","9432","","mean",NA,NA,"",0.214769679,"M.M.394","151"
"mean","12/15/2025","F","CTRL.WTH.49_P7_M",0.0282,"CTRL.WTH.176_P1_M","A.M.395","DONE",29,218,247,"DONE","5119","","ambient",NA,NA,"",0.209769105,"A.M.395","49"
"mean","12/15/2025","F","HOT.WTH.160_P2_M",0.0257,"HOT.WTH.49_P5_M","H.M.396","DONE",0,119,119,"DONE","7822","","hot",NA,NA,"",0.210671247,"H.M.396","160"
"mean","12/15/2025","F","COOL.WTH.110_P1_M",0.0106,"COOL.WTH.17_P1_M","C.M.397","DONE",31,0,31,"DONE","8726","","cool",NA,NA,"",0.221544912,"C.M.397","110"
"hot","12/15/2025","F","HOT.WTH.154_P7_H",0.032,"HOT.WTH.145_P3_H","H.H.398","DONE",0,11,11,"DONE","9123","","hot",NA,NA,"this image has 9 eggs",0.191499896,"H.H.398","154"
"hot","12/15/2025","F","HOT.WTH.152_P4_H",0.0283,"HOT.WTH.150_P1_H","H.H.399","DONE",4,159,163,"DONE","3084","","hot",NA,NA,"",0.22407847,"H.H.399","152"
"hot","12/15/2025","F","CTRL.WTH.145_P4_H",0.0304,"CTRL.WTH.160_P1_H","A.H.403","64",115,0,115,"DONE","6422","","ambient",NA,NA,"",0.198700213,"A.H.403","145"
"hot","12/15/2025","F","MEAN.WTH.168_P1_H",0.0138,"MEAN.WTH.70_P4_H","M.H.404","64",0,78,78,"DONE","2742","","mean",NA,NA,"",0.202349777,"M.H.404","168"
"ambient","12/15/2025","F","HOT.WTH.39_P5_A ",0.0322,"HOT.WTH.13_P3_A","H.A.407","DONE",17,214,231,"DONE","4983","","hot",NA,NA,"",0.216159107,"H.A.407","39"
"warm","12/15/2025","F","CTRL.WTH.64_P2_W",0.0247,"CTRL.GLF.16_P2_W","A.W.408","64",46,0,46,"DONE","8879","","ambient",NA,NA,"",0.20776799,"A.W.408","64"
"warm","12/15/2025","F","WARM.WTH.84_P3_W",0.0185,"WARM.MUN.1_P3_W","W.W.410","64",0,19,19,"DONE","6790","","warm",NA,NA,"",0.207774393,"W.W.410","84"
"warm","12/15/2025","F","HOT.MUN.1_P2_W",0.0413,"HOT.BLG.15_P6_W","H.W.413","64",5,38,43,"DONE","9569","","hot",NA,NA,"",0.217887678,"H.W.413","1"
"warm","12/15/2025","F","HOT.WTH.48_P3_W",0.0236,"HOT.WTH.155_P3_W","H.W.414","64",31,123,154,"DONE","1548","","hot",NA,NA,"",0.208924031,"H.W.414","48"
"cool","12/17/2025","F","HOT.WTH.152_P6_C",0.0292,"HOT.WTH.160_P5_C","H.C.419","62",71,0,71,"DONE","6734","1A,1B,2A","hot",0.260648521,0.252566051,"",0.26616489,"H.C.419","152"
"cool","12/17/2025","F","HOT.WTH.42_P1_C",0.0371,"HOT.WTH.145_P4_C","H.C.420","62",90,160,250,"DONE","3095","","hot",NA,NA,"",0.209398778,"H.C.420","42"
"cool","12/17/2025","F","CTRL.WTH.74_P1_C",0.0314,"CTRL.WTH.162_P5_C","A.C.421","62",18,0,18,"DONE","5488","","ambient",NA,NA,"",0.201459367,"A.C.421","74"
"cool","12/17/2025","F","WARM.WTH.114_P7_C",0.0177,"WARM.WTH.139_P3_C","W.C.425","62",107,0,107,"DONE","9994","1A,1B,2A","warm",0.213199148,0.212865779,"",0.218588612,"W.C.425","114"
"cool","12/17/2025","F","MEAN.WTH.29_P2_C",0.0137,"MEAN.WTH.106_P1_C","M.C.428","DONE",27,0,27,"DONE","6308","","mean",NA,NA,"",0.214363061,"M.C.428","29"
"cool","12/17/2025","F","HOT.WTH.74_P3_C",0.0284,"HOT.WTH.162_P4_C","H.C.430","62",142,0,142,"DONE","9137","","hot",NA,NA,"",0.207551796,"H.C.430","74"
"cool","12/17/2025","F","MEAN.WTH.25_P2_C",0.0117,"MEAN.WTH.167_P1_C","M.C.432","DONE",27,0,27,"DONE","9502","","mean",NA,NA,"",0.211312647,"M.C.432","25"
"mean","12/17/2025","F","CTRL.GLF.16_P4_M",0.0211,"CTRL.WTH.121_P3_M","A.M.439","62",44,0,44,"DONE","2441","","ambient",NA,NA,"",0.203651728,"A.M.439","16"
"mean","12/17/2025","F","CTRL.WTH.155_P3_M",0.0297,"CTRL.WTH.13_P1_M","A.M.441","62",57,0,57,"DONE","6501","","ambient",NA,NA,"",0.200731009,"A.M.441","155"
"hot","12/19/2025","F","CTRL.WTH.153_P3_H",0.0273,"CTRL.WTH.157_P5_H","A.H.444","60",18,250,268,"DONE","3085","","ambient",NA,NA,"",0.186477152,"A.H.444","153"
"hot","12/19/2025","F","COOL.WTH.98_P3_H",0.0098,"COOL.WTH.157_P2_H","C.H.446","60",6,0,6,"DONE","1318","","cool",NA,NA,"only 7 eggs in this photo",0.231483989,"C.H.446","98"
"mean","12/19/2025","F","COOL.WTH.16_P1_M",0.0103,"COOL.MUN.1_P2_M","C.M.450","DONE",9,0,9,"DONE","3893","","cool",NA,NA,"only 7 eggs in this photo",0.195800686,"C.M.450","16"
"mean","12/19/2025","F","WARM.ART.3_P1_M",0.0127,"WARM.GLF.16_P1_M","W.M.451","DONE",6,0,6,"DONE","8569","","warm",NA,NA,"0nly 6 eggs in this photo",0.236897398,"W.M.451","3"
"cool","12/19/2025","F","WARM.WTH.103_P1_C",0.0302,"WARM.WTH.49_P7_C","W.C.452","DONE",36,216,252,"DONE","2665","","warm",NA,NA,"no photograph!!",0.21052415,"W.C.452","103"
"cool","12/19/2025","F","HOT.WTH.130_P2_C",0.0355,"HOT.BLG.15_P4_C","H.C.455","DONE",6,0,6,"DONE","9311","","hot",NA,NA,"only 5 eggs in this photo",0.216015935,"H.C.455","130"
"cool","12/21/2025","F","WARM.WTH.159_P1_C",0.0201,"WARM.EDI.12_P1_C","W.C.459","DONE",9,0,9,"DONE","3759","","warm",NA,NA,"only 9 eggs in this photo",0.193238054,"W.C.459","159"
"cool","12/21/2025","F","WARM.WTH.148_P1_C",0.029,"WARM.WTH.138_P4_C","W.C.460","DONE",71,66,137,"DONE","8498","","warm",NA,NA,"",0.196611396,"W.C.460","148"
"cool","12/21/2025","F","HOT.WTH.121_P3_C",0.0328,"HOT.WTH.134_P5_C","H.C.461","DONE",204,0,204,"DONE","2556","","hot",NA,NA,"",0.199807268,"H.C.461","121"
"hot","12/21/2025","F","COOL.ART.3_P1_H",0.0129,"COOL.WTH.106_P1_H","C.H.465","DONE",0,4,4,"DONE","7584","","cool",NA,NA,"only 4 eggs in this image",0.219686615,"C.H.465","3"
"hot","12/21/2025","F","COOL.WTH.161_P2_H",0.0136,"COOL.WTH.121_P2_H","C.H.466","58",1,2,3,"DONE","8366","","cool",NA,NA,"only 1 egg in this image",0.188,"C.H.466","161"
"hot","12/23/2025","F","WARM.GLF.5_P1_H",0.0254,"WARM.BLG.15_P2_H","W.H.468","56",102,109,211,"DONE","4570","","warm",NA,NA,"",0.214976015,"W.H.468","5"
"cool","12/23/2025","F","WARM.WTH.102_P7_C",0.0187,"WARM.WTH.123_P1_C","W.C.472","DONE",127,1,128,"DONE","1598","","warm",NA,NA,"",0.20461886,"W.C.472","102"
"cool","12/23/2025","F","WARM.WTH.160_P5_C",0.021,"WARM.WTH.167_P1_C","W.C.474","DONE",59,0,59,"DONE","9972","","warm",NA,NA,"",0.206484248,"W.C.474","160"
"cool","12/23/2025","F","COOL.WTH.123_P1_C",0.0147,"COOL.WTH.157_P1_C","C.C.476","DONE",14,0,14,"DONE","7820","","cool",NA,NA,"",0.202799934,"C.C.476","123"
"cool","12/23/2025","F","HOT.WTH.47_P3_C",0.0387,"HOT.WTH.154_P6_C","H.C.477","DONE",75,0,75,"DONE","1133","","hot",NA,NA,"",0.220461283,"H.C.477","47"
"cool","12/23/2025","F","HOT.WTH.64_P5_PC",0.0307,"HOT.ART.3_P1_C","H.C.478","DONE",169,0,169,"DONE","5519","","hot",NA,NA,"",0.212669284,"H.C.478","64"
"cool","12/25/2025","F","WARM.WTH.160_P3_C",0.0197,"WARM.WTH.114_P4_C","W.C.490","DONE",27,0,27,"DONE","6919","","warm",NA,NA,"no image",0.205150388,"W.C.490","160"
"warm","1/9/2026","F","WARM.URD.1_P4_W",0.0141,"HOT.URD.1_P5_W","W.W.504","39",55,0,55,"DONE","6595","","warm",NA,NA,"",0.201264099,"W.W.504","1"
"wild",NA,"F","WTH.1",NA,NA,NA,NA,0,87,87,NA,"WTH.1",NA,"wild",NA,NA,NA,0.199804187,"WTH.1","WTH.1"
"wild",NA,"F","WTH.2",NA,NA,NA,NA,1,110,111,NA,"WTH.2",NA,"wild",NA,NA,NA,0.203247619,"WTH.2","WTH.2"
"wild",NA,"F","WTH.3",NA,NA,NA,NA,0,36,36,NA,"WTH.3",NA,"wild",NA,NA,NA,0.229459758,"WTH.3","WTH.3"
"wild",NA,"F","WTH.5",NA,NA,NA,NA,1,253,254,NA,"WTH.5",NA,"wild",NA,NA,NA,0.201881894,"WTH.5","WTH.5"
"wild",NA,"F","WTH.6",NA,NA,NA,NA,0,164,164,NA,"WTH.6",NA,"wild",NA,NA,NA,0.212846927,"WTH.6","WTH.6"
"wild",NA,"F","WTH.8",NA,NA,NA,NA,14,267,281,NA,"WTH.8",NA,"wild",NA,NA,NA,0.213717213,"WTH.8","WTH.8"
"wild",NA,"F","WTH.9",NA,NA,NA,NA,11,48,59,NA,"WTH.9",NA,"wild",NA,NA,NA,0.202450431,"WTH.9","WTH.9"
"wild",NA,"F","WTH.10",NA,NA,NA,NA,0,386,386,NA,"WTH.10",NA,"wild",NA,NA,NA,0.175243068,"WTH.10","WTH.10"
"wild",NA,"F","WTH.11",NA,NA,NA,NA,0,52,52,NA,"WTH.11",NA,"wild",NA,NA,NA,0.21252984,"WTH.11","WTH.11"
"wild",NA,"F","WTH.12",NA,NA,NA,NA,0,318,318,NA,"WTH.12",NA,"wild",NA,NA,NA,0.201404464,"WTH.12","WTH.12"
"wild",NA,"F","WTH.13",NA,NA,NA,NA,0,37,37,NA,"WTH.13",NA,"wild",NA,NA,NA,0.220254991,"WTH.13","WTH.13"
"wild",NA,"F","WTH.14",NA,NA,NA,NA,0,8,8,NA,"WTH.14",NA,"wild",NA,NA,NA,0.202431643,"WTH.14","WTH.14"
"wild",NA,"F","WTH.15",NA,NA,NA,NA,0,21,21,NA,"WTH.15",NA,"wild",NA,NA,NA,0.201787074,"WTH.15","WTH.15"
"wild",NA,"F","WTH.17",NA,NA,NA,NA,0,16,16,NA,"WTH.17",NA,"wild",NA,NA,NA,0.210666971,"WTH.17","WTH.17"
"wild",NA,"F","WTH.18",NA,NA,NA,NA,0,12,12,NA,"WTH.18",NA,"wild",NA,NA,NA,0.204655659,"WTH.18","WTH.18"
"wild",NA,"F","WTH.19",NA,NA,NA,NA,2,143,145,NA,"WTH.19",NA,"wild",NA,NA,NA,0.209661378,"WTH.19","WTH.19"
"wild",NA,"F","WTH.20",NA,NA,NA,NA,0,66,66,NA,"WTH.20",NA,"wild",NA,NA,NA,0.215286197,"WTH.20","WTH.20"
"wild",NA,"F","WTH.22",NA,NA,NA,NA,0,64,64,NA,"WTH.22",NA,"wild",NA,NA,NA,0.193488635,"WTH.22","WTH.22"
"wild",NA,"F","WTH.23",NA,NA,NA,NA,1,46,47,NA,"WTH.23",NA,"wild",NA,NA,NA,0.211878019,"WTH.23","WTH.23"
"wild",NA,"F","WTH.24",NA,NA,NA,NA,0,7,7,NA,"WTH.24",NA,"wild",NA,NA,NA,0.193649184,"WTH.24","WTH.24"
"wild",NA,"F","WTH.25",NA,NA,NA,NA,1,52,53,NA,"WTH.25",NA,"wild",NA,NA,NA,0.172681431,"WTH.25","WTH.25"
"wild",NA,"F","WTH.27",NA,NA,NA,NA,0,100,100,NA,"WTH.27",NA,"wild",NA,NA,NA,0.204867615,"WTH.27","WTH.27"
"wild",NA,"F","WTH.28",NA,NA,NA,NA,0,159,159,NA,"WTH.28",NA,"wild",NA,NA,NA,0.214573509,"WTH.28","WTH.28"
"wild",NA,"F","WTH.29",NA,NA,NA,NA,0,27,27,NA,"WTH.29",NA,"wild",NA,NA,NA,0.209258368,"WTH.29","WTH.29"
"wild",NA,"F","WTH.30",NA,NA,NA,NA,1,119,120,NA,"WTH.30",NA,"wild",NA,NA,NA,0.193296703,"WTH.30","WTH.30"
"wild",NA,"F","WTH.31",NA,NA,NA,NA,1,40,41,NA,"WTH.31",NA,"wild",NA,NA,NA,0.20856114,"WTH.31","WTH.31"
"wild",NA,"F","WTH.32",NA,NA,NA,NA,2,307,309,NA,"WTH.32",NA,"wild",NA,NA,NA,0.223342597,"WTH.32","WTH.32"
"wild",NA,"F","WTH.33",NA,NA,NA,NA,0,80,80,NA,"WTH.33",NA,"wild",NA,NA,NA,0.209916381,"WTH.33","WTH.33"
"wild",NA,"F","WTH.34",NA,NA,NA,NA,0,70,70,NA,"WTH.34",NA,"wild",NA,NA,NA,0.206095049,"WTH.34","WTH.34"
"wild",NA,"F","WTH.35",NA,NA,NA,NA,5,184,189,NA,"WTH.35",NA,"wild",NA,NA,NA,0.199326159,"WTH.35","WTH.35"
"wild",NA,"F","WTH.36",NA,NA,NA,NA,0,97,97,NA,"WTH.36",NA,"wild",NA,NA,NA,0.207248126,"WTH.36","WTH.36"
"wild",NA,"F","WTH.37",NA,NA,NA,NA,8,27,35,NA,"WTH.37",NA,"wild",NA,NA,NA,0.207956719,"WTH.37","WTH.37"
"wild",NA,"F","WTH.38",NA,NA,NA,NA,8,82,90,NA,"WTH.38",NA,"wild",NA,NA,NA,0.191340269,"WTH.38","WTH.38"
"wild",NA,"F","WTH.39",NA,NA,NA,NA,0,168,168,NA,"WTH.39",NA,"wild",NA,NA,NA,0.213519748,"WTH.39","WTH.39"
"wild",NA,"F","WTH.40",NA,NA,NA,NA,9,69,78,NA,"WTH.40",NA,"wild",NA,NA,NA,0.207633107,"WTH.40","WTH.40"
"wild",NA,"F","WTH.41",NA,NA,NA,NA,0,104,104,NA,"WTH.41",NA,"wild",NA,NA,NA,0.218350538,"WTH.41","WTH.41"
"wild",NA,"F","WTH.42",NA,NA,NA,NA,0,25,25,NA,"WTH.42",NA,"wild",NA,NA,NA,0.207488912,"WTH.42","WTH.42"
"wild",NA,"F","WTH.44",NA,NA,NA,NA,0,120,120,NA,"WTH.44",NA,"wild",NA,NA,NA,0.224060241,"WTH.44","WTH.44"
"wild",NA,"F","WTH.45",NA,NA,NA,NA,0,9,9,NA,"WTH.45",NA,"wild",NA,NA,NA,0.22554579,"WTH.45","WTH.45"
"wild",NA,"F","WTH.46",NA,NA,NA,NA,2,106,108,NA,"WTH.46",NA,"wild",NA,NA,NA,0.215779151,"WTH.46","WTH.46"
"wild",NA,"F","WTH.47",NA,NA,NA,NA,1,83,84,NA,"WTH.47",NA,"wild",NA,NA,NA,0.20806012,"WTH.47","WTH.47"
"wild",NA,"F","WTH.48",NA,NA,NA,NA,0,3,3,NA,"WTH.48",NA,"wild",NA,NA,NA,0.21926387,"WTH.48","WTH.48"
"wild",NA,"F","WTH.50",NA,NA,NA,NA,2,183,185,NA,"WTH.50",NA,"wild",NA,NA,NA,0.204148514,"WTH.50","WTH.50"
"wild",NA,"F","WTH.51",NA,NA,NA,NA,0,107,107,NA,"WTH.51",NA,"wild",NA,NA,NA,0.196987422,"WTH.51","WTH.51"
"wild",NA,"F","WTH.52",NA,NA,NA,NA,0,29,29,NA,"WTH.52",NA,"wild",NA,NA,NA,0.187856288,"WTH.52","WTH.52"
"wild",NA,"F","WTH.53",NA,NA,NA,NA,0,1,1,NA,"WTH.53",NA,"wild",NA,NA,NA,0.182307676,"WTH.53","WTH.53"
"wild",NA,"F","WTH.54",NA,NA,NA,NA,1,40,41,NA,"WTH.54",NA,"wild",NA,NA,NA,0.186450442,"WTH.54","WTH.54"
"wild",NA,"F","WTH.55",NA,NA,NA,NA,1,219,220,NA,"WTH.55",NA,"wild",NA,NA,NA,0.187427823,"WTH.55","WTH.55"
"wild",NA,"F","WTH.56",NA,NA,NA,NA,1,11,12,NA,"WTH.56",NA,"wild",NA,NA,NA,0.193614891,"WTH.56","WTH.56"
"wild",NA,"F","WTH.59",NA,NA,NA,NA,0,72,72,NA,"WTH.59",NA,"wild",NA,NA,NA,0.205711759,"WTH.59","WTH.59"
"wild",NA,"F","WTH.60",NA,NA,NA,NA,0,4,4,NA,"WTH.60",NA,"wild",NA,NA,NA,0.199438822,"WTH.60","WTH.60"
"wild",NA,"F","WTH.61",NA,NA,NA,NA,1,34,35,NA,"WTH.61",NA,"wild",NA,NA,NA,0.20872029,"WTH.61","WTH.61"
"wild",NA,"F","WTH.63",NA,NA,NA,NA,1,0,1,NA,"WTH.63",NA,"wild",NA,NA,NA,0.202891067,"WTH.63","WTH.63"
"wild",NA,"F","WTH.64",NA,NA,NA,NA,25,160,185,NA,"WTH.64",NA,"wild",NA,NA,NA,0.201912889,"WTH.64","WTH.64"
"wild",NA,"F","WTH.65",NA,NA,NA,NA,0,187,187,NA,"WTH.65",NA,"wild",NA,NA,NA,0.216194376,"WTH.65","WTH.65"
"wild",NA,"F","WTH.66",NA,NA,NA,NA,0,133,133,NA,"WTH.66",NA,"wild",NA,NA,NA,0.192877686,"WTH.66","WTH.66"
"wild",NA,"F","WTH.67",NA,NA,NA,NA,1,11,12,NA,"WTH.67",NA,"wild",NA,NA,NA,0.190087948,"WTH.67","WTH.67"
"wild",NA,"F","WTH.68",NA,NA,NA,NA,1,168,169,NA,"WTH.68",NA,"wild",NA,NA,NA,0.219204367,"WTH.68","WTH.68"
"wild",NA,"F","WTH.69",NA,NA,NA,NA,0,19,19,NA,"WTH.69",NA,"wild",NA,NA,NA,0.209646315,"WTH.69","WTH.69"
"wild",NA,"F","WTH.70",NA,NA,NA,NA,0,105,105,NA,"WTH.70",NA,"wild",NA,NA,NA,0.189391813,"WTH.70","WTH.70"
"wild",NA,"F","WTH.71",NA,NA,NA,NA,2,231,233,NA,"WTH.71",NA,"wild",NA,NA,NA,0.211476242,"WTH.71","WTH.71"
"wild",NA,"F","WTH.72",NA,NA,NA,NA,0,8,8,NA,"WTH.72",NA,"wild",NA,NA,NA,0.218098084,"WTH.72","WTH.72"
"wild",NA,"F","WTH.73",NA,NA,NA,NA,1,1,2,NA,"WTH.73",NA,"wild",NA,NA,NA,0.207999063,"WTH.73","WTH.73"
"wild",NA,"F","WTH.74",NA,NA,NA,NA,0,16,16,NA,"WTH.74",NA,"wild",NA,NA,NA,0.204568855,"WTH.74","WTH.74"
"wild",NA,"F","WTH.75",NA,NA,NA,NA,0,92,92,NA,"WTH.75",NA,"wild",NA,NA,NA,0.198628906,"WTH.75","WTH.75"
"wild",NA,"F","WTH.76",NA,NA,NA,NA,0,7,7,NA,"WTH.76",NA,"wild",NA,NA,NA,0.201398406,"WTH.76","WTH.76"
"wild",NA,"F","WTH.77",NA,NA,NA,NA,0,203,203,NA,"WTH.77",NA,"wild",NA,NA,NA,0.190182596,"WTH.77","WTH.77"
"wild",NA,"F","WTH.78",NA,NA,NA,NA,0,21,21,NA,"WTH.78",NA,"wild",NA,NA,NA,0.189454179,"WTH.78","WTH.78"
"wild",NA,"F","WTH.79",NA,NA,NA,NA,8,20,28,NA,"WTH.79",NA,"wild",NA,NA,NA,0.182790634,"WTH.79","WTH.79"
