"pupal_treatment","emergence_date","sex","adultID","weight","mateID","clutchID","age","green_eggs","orange_eggs","clutch_size","eggs_photographed","clutch_code","X.x","larval_treatment","egg_mean_1B","egg_mean_2A","notes.y","egg_mean_1A","clutch_ID","maternalID"
"cool","11/25/2025","F","CTRL.WTH.48_P3_C",0.0269,"F1.COOL.CTRL??_P2_C","A.C.78","84",76,90,166,"DONE","8280","","ambient",NA,NA,"",0.19023394,"A.C.78","48"
"cool","11/25/2025","F","WARM.WTH.158_P3_C",0.0224,"WARM.WTH.53_P5_C","W.C.79","DONE",23,111,134,"DONE","5714","","warm",NA,NA,"",0.200236618,"W.C.79","158"
"cool","11/25/2025","F","WARM.WTH.37_P4_C",0.0267,"WARM.WTH.88_P1_C","W.C.80","DONE",19,128,147,"DONE","1150","","warm",NA,NA,"",0.196852044,"W.C.80","37"
"ambient","11/25/2025","F","CTRL.WTH.22_P8_A",0.0332,"CTRL.WTH.39_P1_A","A.A.81","DONE",1,57,58,"DONE","7809","","ambient",NA,NA,"",0.208509502,"A.A.81","22"
"ambient","11/25/2025","F","HOT.WTH.15_P1_A",0.0289,"HOT.WTH.151_P4_A","H.A.82","DONE",1,42,43,"DONE","9173","","hot",NA,NA,"",0.202709504,"H.A.82","15"
"ambient","11/25/2025","F","CTRL.WTH.151_P2_A",0.038,"CTRL.WTH.1_P5_A","A.A.83","DONE",0,181,181,"DONE","7910","","ambient",NA,NA,"",0.201584179,"A.A.83","151"
"cool","11/27/2025","F","WARM.WTH.33_P4_C",0.02138,"WARM.WTH.145_P5_C","W.C.84","DONE",6,22,28,"DONE","3207","","warm",NA,NA,"",0.206109438,"W.C.84","33"
"cool","11/27/2025","F","WARM.WTH.25_P7_C",0.0268,"WARM.WTH.42_P3_C","W.C.85","DONE",87,59,146,"DONE","2028","","warm",NA,NA,"",0.200495395,"W.C.85","25"
"cool","11/27/2025","F","HOT.WTH.114_P2_C",0.0284,"HOT.WTH.106_P1_C","H.C.86","DONE",70,61,131,"DONE","9517","","hot",NA,NA,"",0.192664484,"H.C.86","114"
"cool","11/27/2025","F","HOT.WTH.158_P3_C",0.0221,"HOT.WTH.86_P2_C","H.C.88","DONE",40,5,45,"DONE","8447","","hot",NA,NA,"",0.204009595,"H.C.88","158"
"cool","11/27/2025","F","HOT.WTH.110_P3_C",0.0284,"HOT.WTH.22_P9_C","H.C.89","DONE",4,59,63,"DONE","8734","","hot",NA,NA,"",0.204068244,"H.C.89","110"
"cool","11/27/2025","F","HOT.GLF.5_P1_C",0.0288,"HOT.WTH.151_P5_C","H.C.90","DONE",23,99,122,"DONE","9010","","hot",NA,NA,"",0.219542913,"H.C.90","5"
"cool","11/27/2025","F","HOT.WTH.22_P2_C",0.0311,"HOT.WTH.103_P5_C","H.C.91","DONE",28,133,161,"DONE","2955","","hot",NA,NA,"",0.195136841,"H.C.91","22"
"cool","11/27/2025","F","WARM.WTH.23_P2_C",0.0292,"WARM.WTH.113_P1_C","W.C.92","DONE",21,242,263,"DONE","9171","","warm",NA,NA,"",0.20957069,"W.C.92","23"
"hot","11/27/2025","F","HOT.WTH.47_P4_H",0.0331,"HOT.WTH.110_P7_H","H.H.93","DONE",10,159,169,"DONE","7128","","hot",NA,NA,"",0.221865833,"H.H.93","47"
"hot","11/27/2025","F","CTRL.WTH.153_P4_H",0.0237,"CTRL.WTH.88_P2_H","A.H.94","DONE",96,0,96,"DONE","5611","","ambient",NA,NA,"",0.201139682,"A.H.94","153"
"hot","11/27/2025","F","HOT.WTH.104_P3_H",0.0274,"HOT.WTH.110_P2_H","H.H.95","DONE",3,98,101,"DONE","3116","","hot",NA,NA,"",0.193965393,"H.H.95","104"
"ambient","11/27/2025","F","WARM.WTH.42_P2_A",0.0408,"WARM.WTH.23_P3_A","W.A.99","DONE",0,110,110,"DONE","6883","","warm",NA,NA,"",0.21455994,"W.A.99","42"
"mean","11/27/2025","F","HOT.WTH.25_P4_M",0.032,"HOT.WTH.29_P3_M","H.M.100","DONE",4,287,291,"DONE","1984","","hot",NA,NA,"",0.206690127,"H.M.100","25"
"mean","11/27/2025","F","HOT.WTH.148_P6_M",0.0254,"HOT.WTH.70_P2_M","H.M.101","DONE",0,220,220,"DONE","7182","","hot",NA,NA,"",0.19824422,"H.M.101","148"
"mean","11/27/2025","F","MEAN.WTH.16_P2_M",0.0135,"F6.CTRL.MEAN_P3_M","M.M.102","DONE",7,49,56,"DONE","1985","","mean",NA,NA,"",0.184478761,"M.M.102","16"
"mean","11/27/2025","F","HOT.WTH.111_P1_M",0.0362,"HOT.WTH.150_P2_M","H.M.103","DONE",0,94,94,"DONE","5232","","hot",NA,NA,"",0.205789569,"H.M.103","111"
"mean","11/27/2025","F","CTRL.WTH.152_P1_M",0.0291,"CTRL.WTH.111_P3_M","A.M.104","DONE",199,4,203,"DONE","2583","","ambient",NA,NA,"",0.219358352,"A.M.104","152"
