"clutchID","eggID","code_name","first.photo","size_01","repeatability.photo","size_02","weight_wk3","weight_wk4","weight_wk5","weight_wk6","X","X.1","hatch_date","weighday_1","weight_1","weighday_2","weight_2","weighday_3","weight3","weighday_4","weight4","weighday_5","weight_5","pupal_treatment"
"A.A.189","AA289.09",749,1,0.23,"1",0.233,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.189","AA289.10",123,1,0.246,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.01",750,1,0.194,"",NA,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.02",349,1,0.193,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.03",969,1,0.217,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.04",103,1,0.197,"",NA,NA,NA,NA,NA,NA,"",2026-04-01,2026-04-19,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.05",271,1,0.189,"1",0.2,NA,NA,NA,NA,NA,"",2026-04-03,2026-04-21,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.06",996,1,0.195,"1",0.188,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.07",369,1,0.197,"1",0.206,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.08",651,1,0.196,"",NA,NA,NA,NA,NA,NA,"",2026-03-26,2026-04-13,"",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.09",887,1,0.201,"",NA,NA,NA,NA,NA,NA,"",2026-03-30,2026-04-17,"dead/got squashed??",NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
"A.A.297","AA297.10",389,1,0.212,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ambient"
