pupal_treatment,emergence_date,sex,adultID,weight,mateID,treatment_combination,clutchID,notes,age,age_at_photo,uploaded,dead,green_eggs,orange_eggs,clutch_size,eggs_photographed,clutch_code,cg,,,
hot,12/1/2025,M,WARM.WTH.43_P9_H,,WARM.WTH.39_P1_H,,W.H.330,,DONE,8,,,,,,,,,,,
hot,12/1/2025,M,HOT.WTH.103_P1_H,,HOT.WTH.92_P5_H,,H.H.202,,DONE,8,,,,,,,,,,,
hot,12/1/2025,M,CTRL.WTH.86_P2_H,,CTRL.WTH.152_P6_H,,A.H.148,,DONE,8,,,,,,,,,,,
hot,12/1/2025,M,HOT.WTH.29_P2_H,,HOT.WTH.39_P1_H,,H.H.199,,DONE,8,,,,,,,,,,,
hot,12/1/2025,F,CTRL.WTH.170_P3_H,0.0199,F4.CTRL.CTRL_P1_H,,A.H.147,,DONE,8,,,2,94,96,DONE,6427,Y,2 E5,,
hot ,12/1/2025,F,CTRL.WTH.152_P6_H,0.0204,CTRL.WTH.86_P2_H,,A.H.148,,DONE,8,,,11,110,121,DONE,3312,Y,2 E1,,
hot,12/1/2025,F,MEAN.WTH.92_P1_H,0.0112,MEAN.WTH.16_P1_H,,M.H.149,,DONE,8,,,7,14,21,DONE,8740,,,,
cool,12/1/2025,M,F1.CTRL.CTRL_P2_C,,CTRL.WTH.152_P4_C,,A.C.181,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,WARM.WTH.111_P4_C,,WARM.WTH.98_P11_C,,W.C.150,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,F1.HOT.WARM_P9_C,,F2.COOL.WARM_P3_C,,C.W.C.115,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,WARM.WTH.106_P4_C,,WARM.WTH.123_P8_C,,W.C.179,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,HOT.WTH.162_P4_C,,HOT.WTH.74_P3_C,,H.C.430,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,CTRL.WTH.160_P2_C,,CTRL.WTH.161_P1_C,,A.C.154,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,HOT.WTH.139_P7_C,,HOT.WTH.84_P4_C,,H.C.303,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,HOT.WTH.161_P1_C,,,HC,,,DONE,8,,,,,,,,,,,
cool,12/1/2025,M,WARM.WTH.98_P10_C,,,WC,,deformed wings// dead 19/12,DONE,8,,dead,,,,,,,,,
cool,12/1/2025,F,WARM.WTH.98_P11_C,0.0162,WARM.WTH.111_P4_C,,W.C.150,,DONE,8,,,0,38,38,DONE,9649,Y,3A13,,
cool,12/1/2025,F,F3.MEAN.WARM_P4_C,0.0149,F3.MEAN.WARM_P4_C,,M.W.C.151,,DONE,8,,,129,0,129,,,,,,
cool,12/1/2025,F,WARM.WTH.164_P6_C,0.0199,WARM.WTH.151_P1_C,,W.C.152,,DONE,8,,,78,0,78,DONE,2077,,,,
cool,12/1/2025,F,CTRL.GLF.9_P1_C,0.0279,,AC,A.C.153,,DONE,8,,,,,,,,,,,
cool,12/1/2025,F,CTRL.WTH.161_P1_C,0.0217,CTRL.WTH.160_P2_C,,A.C.154,,DONE,8,,,35,0,35,DONE,6014,,,,
cool,12/1/2025,F,CTRL.WTH.176_P3_C,0.0291,CTRL.WTH.42_P1_C,,A.C.155,,DONE,8,,,167,0,167,DONE,6657,,,,
cool,12/1/2025,F,WARM.WTH.17_P4_C,0.0226,WARM.WTH.155_P1,,W.C.156,,DONE,8,,,36,125,161,DONE,7378,Y,3A2,,
cool,12/1/2025,F,CTRL.WTH.164_P2_C,0.0267,CTRL.WTH.138_P1_C,,A.C.157,,DONE,8,,,alive ,,0,,2312,,,,
cool,12/1/2025,F,CTRL.WTH.53_P2_C,0.0376,CTRL.WTH.153_P5_C,,A.C.158,,DONE,8,,,220,0,220,DONE,1184,,,,
warm,12/1/2025,M,CTRL.WTH.47_P1_W,,CTRL.WTH.148_P6_W,,A.W.220,,DONE,8,,,,,,,,,,,
warm,12/1/2025,M,WARM.WTH.89_P3_W,,WARM.WTH.43_P7_W,,W.W.210,,DONE,8,,,,,,,,,,,
warm,12/1/2025,M,HOT.WTH.153_P6_W,,HOT.WTH.127_P1_W,,H.W.160,,DONE,8,,,,,,,,,,,
warm,12/1/2025,M,F2.MEAN.CTRL_P4_W,,F3.CTRL.CTRL.P5_W,,A.A.W.127,,DONE,8,,,,,,,,,,,
warm,12/1/2025,F,CTRL.WTH.22_P6_W,0.0275,CTRL.WTH.160_P6_W,,A.W.159,,DONE,8,,,2,235,237,DONE,8932,Y,,,
warm,12/1/2025,F,HOT.WTH.127_P1_W,0.0277,HOT.WTH.153_P6_W,,H.W.160,,DONE,8,,,1,100,101,DONE,1412,Y,,,
warm,12/1/2025,F,HOT.WTH.110_P1_W,0.025,HOT.WTH.104_P5_W,,H.W.161,,DONE,8,,,17,93,110,DONE,5722,Y,,,
warm,12/1/2025,F,WARM.WTH.110_P3_W,0.022,WARM.WTH.50_P4_W,,W.W.162,,DONE,1,,,0,76,76,DONE,2332,Y,,,
warm,12/1/2025,F,F7.COOL.CTRL_P2_W,0.0256,F1.COOL.WARM_P1_w,,C.A.W.163,,DONE,8,,,0,0,0,,,,,,
warm,12/1/2025,F,HOT.WTH.106_P7_W,0.0292,HOT.WTH.70_P3_W,,H.W.164,,DONE,8,,,0,199,199,DONE,5874,Y,,,
mean,12/1/2025,F,F4.WARM.WARM_P2_M,0.0154,WARM.WTH.13_P2_M,,W.W.M.165,,DONE,8,,,29,0,29,,,,,,
mean,12/1/2025,F,F1.WARM.WARM_P4_M,0.0265,WARM.WTH.151_P3_M,,W.W.M.166,,DONE,14,,,145,12,157,,,,,,
mean,12/1/2025,F,HOT.WTH.153_P7_M,0.0335,HOT.WTH.64_P6_M,,H.M.168,,DONE,1,,,30,199,229,DONE,1563,Y,1D2,,
mean,12/1/2025,F,WARM.WTH.170_P1_M,0.0183,WARM.WTH.37_P1_M,,W.M.169,,DONE,8,,,0,143,143,DONE,4798,Y,1F4,,
mean,12/1/2025,F,HOT.WTH.33_P3_M,0.0311,HOT.WTH.161_P3_M,,H.M.170,,DONE,8,,,41,0,41,DONE,5255,,,,
mean,12/1/2025,F,HOT.WTH.118_P3_M,0.0355,HOT.WTH.161_P7_M,,H.M.171,,DONE,8,,,108,0,108,DONE,4580,,,,
mean,12/1/2025,F,HOT.WTH.123_P2_M,0.0243,HOT.WTH.38_P1_M,,H.M.172,,DONE,8,,,7,106,113,DONE,4128,Y,1F2,,
mean,12/1/2025,F,WARM.WTH.25_P2_M,0.0225,WARM.WTH.64_P2_M,,W.M.173,,DONE,8,,,0,35,35,DONE,7600,Y,1F6,,
mean,12/1/2025,F,CTRL.WTH.148_P7_M,0.0196,CTRL.WTH.103_P3_M,,A.M.174,,DONE,1,,,59,8,67,DONE,5712,,,,
mean,12/1/2025,F,WARM.WTH.89_P8_M,0.0189,WARM.WTH.29_P2_M,,W.M.175,,DONE,1,,,0,25,25,DONE,9548,,,,
mean,12/1/2025,F,HOT.WTH.167_P2_M,0.0335,HOT.WTH.170_P4,,H.M.176,,DONE,8,,,0,74,74,DONE,1278,Y,1C9,,
mean,12/1/2025,F,MEAN.WTH.170_P1_M,0.01,MEAN.WTH.13_P1_M,,M.M.177,,DONE,14,,,0,23,23,DONE,5365,,,,
mean,12/1/2025,F,F4.COOL.HOT_P6_M,0.03,HOT.WTH.121_P5_M,,C.H.M.167,,DONE,8,,,alive ,,0,,,,,,
mean,12/1/2025,M,HOT.WTH.89_P2_M,,HOT.WTH.168_P6_M,,H.M.248,,DONE,8,,,,,,,,,,,
mean,12/1/2025,M,HOT.WTH.86_P6_M,,HOT.WTH.138_P3_M,,H.M.243,,DONE,8,,,,,,,,,,,
mean,12/1/2025,M,F3.CTRL.HOT_P9_M,,HOT.WTH.98_P7_M,,H.M.256,,DONE,8,,,,,,,,,,,
mean,12/1/2025,M,WARM.WTH.70_P1_M,,WARM.WTH.170_P3_M,,W.M.203,,DONE,8,,,,,,,,,,,
mean,12/1/2025,M,WARM.MUN.1_P2_M,,WARM.WTH.148_P5_M,,W.M.257,,DONE,8,,,,,,,,,,,
mean,12/1/2025,M,HOT.WTH.153_P4_M,,HOT.WTH.158_P6_M,,H.M.204,,DONE,8,,,,,,,,,,,
mean,12/1/2025,M,HOT.GLF.5_P5_M,,HOT.WTH.102_P4,,H.M.267,,DONE,8,,,,,,,,,,,
mean,12/1/2025,M,WARM.WTH.113_P3_M,,F1.COOL.WARM_P2_M,,C.W.M.208,,DONE,8,,,,,,,,,,,
ambient,12/1/2025,M,CTRL.WTH.98_P2_A,,N/A,,,given_to_libby,DONE,N/A,,,,,,,,,,,
ambient,12/1/2025,M,F1.CTRL.HOT_P5_A,,,AHA,,,DONE,14,,,,,,,,,,,
ambient,12/1/2025,M,,,N/A,,,given_to_libby,DONE,N/A,,dead,,,,,,,,,
ambient,12/1/2025,M,WARM.WTH.104_P5_A,,WARM.WTH.102_P2_A,,W.A.190,,DONE,8,,,,,,,,,,,
ambient,12/1/2025,M,HOT.WTH.111_P2_A,,HOT.GLF.16_P5_A,,H.A.288,,DONE,8,,,,,,,,,,,
ambient,12/1/2025,M,WARM.WTH.106_P5_A,,WARM.WTH.164_P3_A,,W.A.191,,DONE,8,,,,,,,,,,,
ambient,12/1/2025,M,WARM.WTH.152_P6_A,,WARM.WTH.92_P3_A,,W.A.192,,DONE,14,,,,,,,,,,,
ambient,12/1/2025,M,HOT.WTH.13_P3_A,,HOT.WTH.39_P5_A,,H.A.407,,DONE,14,,,,,,,,,,,
ambient,12/1/2025,F,WARM.WTH.98_P5_A,0.0152,WARM.WTH.153_P1_A,,W.A.168,,DONE,8,,,0,61,61,DONE,7789,Y,,,
ambient,12/1/2025,F,WARM.WTH.150_P3_A,0.0132,WARM.WTH.170_P9_A,,W.A.169,,DONE,8,,,6,43,49,DONE,7490,Y,,,
ambient,12/1/2025,F,MEAN.WTH.98_P1_A,0.0076,MEAN.WTH.168_P4_A,,M.A.170,,DONE,14,,,0,0,0,,,,,,
ambient,12/1/2025,F,F5.CTRL.HOT_P11_A,0.0356,HOT.WTH.64_P3_A,,A.H.A.171,,DONE,8,,,0,205,205,,,Y,,,
ambient,12/1/2025,F,CTRL.WTH.167_P3_A,0.0245,CTRL.WTH.117_P2_A,,A.A.172,,54,,,,20,54,74,DONE,4200,Y,,,
ambient ,12/1/2025,M,WARM.WTH.37_P3_A,,WARM.WTH.25_P3_A,,W.A.146,,DONE,8,,,,,,,,,,,
ambient ,12/1/2025,F,HOT.WTH.47_P2_A,0.0315,HOT.WTH.106_P5_A,,H.A.173,,DONE,14,,,2,55,57,DONE,3265,Y,,,
cool,12/3/2025,M,F1.HOT.CTRL_P4_C,,CTRL.WTH.145_P8_C,,A.C.180,,DONE,6,,,,,,,,,,,
cool,12/3/2025,M,WARM.WTH.139_P3_C,,WARM.WTH.114_P7_C,,W.C.425,,DONE,6,,,,,,,,,,,
cool,12/3/2025,M,F1.WARM.WARM_P6_C,,F3.MEAN.WARM_P4_C,,M.W.C.151,,DONE,6,,,,,,,,,,,
cool,12/3/2025,M,WARM.WTH.89_P4_C,,,WC,,dead 19/12,DONE,6,,dead,,,,,,,,,
cool,12/3/2025,F,WARM.WTH.123_P8_C,0.0209,WARM.WTH.106_P4_C,,W.C.179,,DONE,6,,,0,0,0,,,,,,
cool,12/3/2025,F,CTRL.WTH.145_P8_C,0.027,F1.HOT.CTRL_P4_C,,A.C.180,,DONE,6,,,0,0,0,,,,,,
cool,12/3/2025,F,CTRL.WTH.152_P4_C,0.0189,F1.CTRL.CTRL_P2_C,,A.C.181,,DONE,6,,,109,0,109,,1617,,,,
cool,12/3/2025,F,F4.CTRL.HOT_P2_C,0.032,F3.CTRL.HOT_P2_C,,A.H.C.182,,DONE,6,,,87,0,87,,2904,,,,
ambient,12/3/2025,F,MEAN.WTH.111_P1_A,0.0151,MEAN.WTH.160_P1_A,,M.A.183,,DONE,12,,,2,3,5,DONE,9528,,,,
ambient,12/3/2025,F,WARM.WTH.84_P6_A,0.027,WARM.WTH.89_P6_A,,W.A.184,,DONE,12,,,0,261,261,DONE,1538,Y,,,
ambient,12/3/2025,F,HOT.WTH.22_P4_A,0.0394,HOT.WTH.159_P1_A,,H.A.185,,DONE,6,,,0,13,13,DONE,4624,,,,
ambient,12/3/2025,F,WARM.WTH.74_P6_A,0.0174,F1.COOL.WARM_P7_A,,W.A.186,,DONE,6,,,2,45,47,DONE,7867,Y,,,
ambient,12/3/2025,F,COOL.WTH.96_P1_A,0.0121,COOL.WTH.17_P2_A,,C.A.187,,DONE,6,,,0,57,57,DONE,4461,Y,,,
ambient,12/3/2025,F,HOT.WTH.102_P3_A,0.029,HOT.WTH.158_P4_A,,H.A.188,,DONE,6,,,0,186,186,,6617,Y,,,
ambient,12/3/2025,F,HOT.WTH.148_P3_A,0.0283,HOT.WTH.103_P4_A,,H.A.189,,DONE,6,,,0,230,230,,7814,Y,,,
ambient,12/3/2025,F,WARM.WTH.102_P2_A,0.0151,WARM.WTH.104_P5_A,,W.A.190,,DONE,6,,,0,18,18,,8004,,,,
ambient,12/3/2025,F,WARM.WTH.164_P3_A,0.0231,WARM.WTH.106_P5_A,,W.A.191,,DONE,6,,,5,54,59,,7800,Y,,,
ambient,12/3/2025,F,WARM.WTH.92_P3_A,0.0387,WARM.WTH.152_P6_A,,W.A.192,,DONE,12,,,0,44,44,,4007,Y,,,
cool,12/3/2025,M,CTRL.WTH.118_P4_A,,F1.HOT.CTRL_P3_A,,H.A.A.143,,DONE,6,,,,,,,,,,,
cool,12/3/2025,M,HOT.WTH.64_P3_A,,F5.CTRL.HOT_P11_A,,A.H.A.171,,DONE,6,,,,,,,,,,,
ambient,12/3/2025,M,MEAN.WTH.49_P2_A,,MEAN.WTH.130_P4_A,,M.A.140,,DONE,6,,,,,,,,,,,
ambient,12/3/2025,M,HOT.WTH.98_P2_A,,HOT.WTH.155_P6_A,,H.A.286,,52,,,,,,,,,,,,
ambient,12/3/2025,M,WARM.WTH.170_P9_A,,WARM.WTH.150_P3_A,,W.A.169,,DONE,6,,,,,,,,,,,
ambient,12/3/2025,M,WARM.WTH.153_P1_A,,WARM.WTH.98_P5_A,,W.A.168,,DONE,6,,,,,,,,,,,
ambient,12/3/2025,M,HOT.WTH.154_P1_A,,F2.WARM.HOT_P4_A,,W.H.A.98,,DONE,0,,,,,,,,,,,
ambient,12/3/2025,M,WARM.WTH.89_P6_A,,WARM.WTH.84_P6_A,,W.A.184,wings closed,52,,,,,,,,,,,,
hot,12/3/2025,M,F3.MEAN.HOT_P6_H,,F1.WARM.HOT_P7_H,,W.H.H.96,,DONE,7,,,,,,,,,,,
hot,12/3/2025,M,HOT.WTH.70_P1_H,,HOT.WTH.42_P2_H,,H.H.196,,DONE,7,,,,,,,,,,,
hot,12/3/2025,M,WARM.WTH.33_P5_H,,WARM.WTH.50_P5_H,,W.H.323,,52,,,,,,,,,,,,
hot,12/3/2025,M,HOT.WTH.94_P2_H,,HOT.WTH.148_P2_H,,H.H.235,,DONE,13,,,,,,,,,,,
hot,12/3/2025,M,HOT.WTH.53_P2_H,,HOT.WTH.123_P1_H,,H.H.241,wing totally close to redo,DONE,13,,,,,,,,,,,
hot,12/3/2025,M,HOT.WTH.41_P8_H,,HOT.WTH.138_P1_H,,H.H.326,,DONE,7,,,,,,,,,,,
hot,12/3/2025,M,HOT.WTH.158_P1_H,,HOT.WTH.162_P2_H,,H.H.237,,DONE,7,,,,,,,,,,,
hot,12/3/2025,M,WARM.WTH.26_P5_H,,WARM.WTH.22_P7_H,,W.H.325,,DONE,7,7,,,,,,,,,,
hot,12/3/2025,M,F7.COOL.WARM_P2_H,,F1.WARM.WARM_P2_H,,W.W.H.273,,DONE,7,7,,,,,,,,,,
hot,12/3/2025,M,CTRL.WTH.74_P5_H,,CTRL.WTH.92_P4_H,,A.H.193,,DONE,7,,,,,,,,,,,
hot,12/3/2025,M,COOL.WTH.92_P1_H,,,CH,,dead 19/12,DONE,7,,dead,,,,,,,,,
hot,12/3/2025,M,F1.CTRL.CTRL_P4_H,,CTRL.WTH.130_P6_H,,A.H.195,,DONE,7,,,,,,,,,,,
hot,12/3/2025,F,CTRL.WTH.92_P4_H,0.0293,CTRL.WTH.74_P5_H,,A.H.193,,DONE,7,,,0,307,307,,7803,Y,2D9,,
hot,12/3/2025,F,CTRL.WTH.44_P3_H,0.0245,CTRL.BLG_15_P1_H,,A.H.194,,DONE,7,,,86,0,86,,3210,,,,
hot,12/3/2025,F,CTRL.WTH.130_P6_H,0.0224,F1.CTRL.CTRL_P4_H,,A.H.195,,DONE,7,,,4,110,114,,3285,Y,2C7,,
hot,12/3/2025,F,HOT.WTH.42_P2_H,0.0301,HOT.WTH.70_P1_H,,H.H.196,,DONE,7,,,0,175,175,,6792,Y,2D3,,
hot,12/3/2025,F,CTRL.WTH.22_P3_H,0.0236,,AH,A.H.197,,DONE,7,,dead,,,,,,,,,
hot,12/3/2025,F,HOT.WTH.78_P4_H,0.0288,HOT.WTH.1_P5_H,,H.H.198,,DONE,6,,,0,119,119,,8683,Y,2A4,,
hot,12/3/2025,F,HOT.WTH.39_P1_H,0.0322,HOT.WTH.29_P2_H,,H.H.199,,DONE,6,,,0,109,109,,9935,Y,2 E6,,
hot,12/3/2025,F,CTRL.WTH.123_P4_H,0.0186,CTRL.WTH.98_P4_H,,A.H.200,,DONE,7,,,0,46,46,,6508,Y,2D5,,
hot,12/3/2025,F,CTRL.WTH.114_P4_H,0.0243,F4.CTRL.CTRL_P1_H,,A.H.201,,DONE,6,,,8,54,62,,5212,Y,2D1,,
hot,12/3/2025,F,HOT.WTH.92_P5_H,0.0354,HOT.WTH.103_P1_H,,H.H.202,,DONE,6,,,0,254,254,,8825,Y,2 E2,,
mean,12/3/2025,F,WARM.WTH.170_P3_M,0.0157,WARM.WTH.70_P1_M,,W.M.203,,DONE,6,,,3,31,34,,2705,Y,1F9,,
mean,12/3/2025,F,HOT.WTH.158_P6_M,0.0329,HOT.WTH.153_P4_M,,H.M.204,,DONE,6,,,6,0,6,,8878,,,,
mean,12/3/2025,F,F6.CTRL.CTRL_P1_M,0.0404,F2.MEAN.CTRL_P3_M,,A.A.M.205,,DONE,6,,,0,355,355,,,Y, 1F1,,
mean,12/3/2025,F,F4.COOL.WARM_P2_M,0.0216,F1.COOL.WARM_P3_M,,C.W.M.206,,DONE,6,,,40,60,100,,,Y,1F8,,
mean,12/3/2025,F,WARM.WTH.159_P5_M,0.0146,WARM.WTH.89_P2_M,,W.M.207,,DONE,6,,,0,91,91,,9080,Y,1F7,,
mean,12/3/2025,F,F1.COOL.WARM_P2_M,0.0371,WARM.WTH.113_P3_M,,C.W.M.208,,DONE,6,,,3,91,94,,,Y,1F5,,
mean,12/3/2025,M,WARM.WTH.38_P5_M,,F2.WARM.WARM_P3_M,,W.W.M.114,,DONE,5,,,,,,,,,,,
mean,12/3/2025,M,F6.CTRL.MEAN_P3_M,,MEAN.WTH.16_P2_M,,M.M.102,,DONE,6,,,,,,,,,,,
mean,12/3/2025,M,WARM.WTH.13_P2_M,,F4.WARM.WARM_P2_M,,W.W.M.165,,DONE,6,,,,,,,,,,,
mean,12/3/2025,M,HOT.WTH.121_P5_M,,F4.COOL.HOT_P6_M,,C.H.M.167,,DONE,6,,,,,,,,,,,
mean,12/3/2025,M,HOT.WTH.74_P4_M,,F5.CTRL.HOT_P10_M,,A.M.113,,DONE,5,,,,,,,,,,,
warm,12/3/2025,F,F5.CTRL.HOT_P8_W,0.0357,F1.HOT.HOT_P5_W,,A.H.W.209,,DONE,6,,,0,167,167,,,Y,,,
warm,12/3/2025,F,WARM.WTH.43_P7_W,0.0301,WARM.WTH.89_P3_W,,W.W.210,,DONE,6,,,0,229,229,,1987,Y,,,
warm,12/3/2025,M,CTRL.WTH.103_P1_W,,CTRL.WTH.158_P1_W,,A.W.211,,DONE,7,,,,,,,,,,,
warm,12/3/2025,F,WARM.WTH.25_P6_W,0.0201,WARM.WTH.88_P3_W,,W.W.212,partially eclosed,DONE,7,,,13,32,45,,9977,Y,,,
warm,12/3/2025,F,CTRL.WTH.158_P1_W,0.0256,CTRL.WTH.103_P1_W,,A.W.211,,DONE,7,,,0,184,184,,5806,Y,,,
warm,12/3/2025,F,WARM.WTH.13_P3_W,0.0338,WARM.WTH.49_P3_W,,W.W.214,,DONE,7,,,0,7,7,,6587,,,,
warm,12/3/2025,F,CTRL.WTH.159_P3_W,0.0253,F4.CTRL.CTRL_P7_W,,A.W.215,,DONE,7,,,32,224,256,,4808,Y,,,
warm,12/3/2025,F,F1.WARM.WARM_P1_W,0.0291,F7.COOL.WARM_P4_W,,W.W.W.216,,DONE,6,,,0,163,163,,,Y,,,
warm,12/3/2025,F,F5.CTRL.HOT_P6_W,0.0282,F3.MEAN.HOT_P2_W,,A.H.W.217,,DONE,5,,,0,237,237,,,Y,,,
warm,12/3/2025,F,HOT.WTH.33_P4_W,0.0367,HOT.WTH.179_P2_W,,H.W.218,,DONE,7,,,0,230,230,,8425,Y,,,
warm,12/3/2025,F,WARM.WTH.86_P3_W,0.0245,F5.CTRL_WARM_P2_W,,W.W.219,,DONE,7,,,0,0,0,,,,,,
warm,12/3/2025,M,F4.CTRL.CTRL_P7_W,,CTRL.WTH.159_P3_W,,A.W.215,,DONE,7,,,,,,,,,,,
warm,12/3/2025,M,HOT.WTH.155_P10_W,,HOT.WTH.114_P7_W,,H.W.222,,DONE,7,,,,,,,,,,,
warm,12/3/2025,M,MEAN.WTH.53_P1_W,,MEAN.WTH.44_P2_W,,M.W.132,,DONE,6,,,,,,,,,,,
warm,12/3/2025,M,HOT.WTH.70_P3_W,,HOT.WTH.106_P7_W,,H.W.164,,DONE,6,,,,,,,,,,,
warm,12/3/2025,M,F5.CTRL_WARM_P2_W,,WARM.WTH.86_P3_W,,W.W.219,please have another picture,DONE,7,,,,,,,,,,,
warm,12/3/2025,M,HOT.WTH.179_P2_W,,HOT.WTH.33_P4_W,,H.W.218,,DONE,7,,,,,,,,,,,
warm,12/3/2025,M,HOT.WTH.106_P4_W,,HOT.WTH.98_P5_W,,H.W.219,,DONE,7,,,,,,,,,,,
warm,12/3/2025,M,WARM.WTH.49_P3_W,,WARM.WTH.13_P3_W,,W.W.214,,DONE,7,,,,,,,,,,,
warm,12/3/2025,M,HOT.WTH.153_P5_W,,HOT.WTH.114_P1_W,,H.W.221,wings closed please retake ,DONE,7,,,,,,,,,,,
warm,12/5/2025,F,WARM.WTH.158_P1_W,0.0239,WARM.WTH.153_P8_W,,W.W.215,,DONE,5,,,0,177,177,,3224,Y,,,
warm,12/5/2025,M,WARM.WTH.153_P8_W,,WARM.WTH.158_P1_W,,W.W.215,wing totally close to redo,DONE,20,,,,,,,,,,,
warm,12/5/2025,F,F2.HOT.HOT_P1_W,0.0282,HOT.WTH.161_P2_W,,H.H.W.216,,DONE,5,,,0,214,214,,,Y,,,
warm,12/5/2025,F,F3.MEAN.WARM_P7_W,0.0259,F2.HOT.WARM_P4_W,,M.W.W.217,,DONE,5,,,0,46,46,,,Y,,,
warm,12/5/2025,F,MEAN.WTH.25_P1_W,0.0102,F5.CTRL.MEAN_P2_W,,M.W.218,,DONE,5,,,1,0,1,,2164,,,,
warm,12/5/2025,F,HOT.WTH.98_P5_W,0.0291,HOT.WTH.106_P4_W,,H.W.219,,DONE,5,,,0,35,35,,7082,Y,,,
warm,12/5/2025,F,CTRL.WTH.148_P6_W,0.0294,CTRL.WTH.47_P1_W,,A.W.220,,DONE,4,,,10,220,230,,8633,Y,,,
warm,12/5/2025,F,HOT.WTH.114_P1_W,0.0351,HOT.WTH.153_P5_W,,H.W.221,,DONE,5,,,2,68,70,,3212,Y,,,
warm,12/5/2025,F,HOT.WTH.114_P7_W,0.0297,HOT.WTH.155_P10_W,,H.W.222,,DONE,5,,,0,184,184,,2611,Y,,,
warm,12/5/2025,F,HOT.WTH.25_P1_W,0.029,HOT.WTH.43_P6_W,,H.W.223,,DONE,5,,,8,69,77,,4852,Y,,,
warm,12/5/2025,M,HOT.WTH.43_P6_W,,HOT.WTH.25_P1_W,,H.W.223,,DONE,5,,,,,,,,,,,
warm,12/5/2025,F,WARM.WTH.98_P8_W,0.0112,WARM.WTH.170_P11_W,,W.W.224,,DONE,5,,,2,7,9,,6564,,,,
warm,12/5/2025,M,WARM.WTH.170_P11_W,,WARM.WTH.98_P8_W,,W.W.224,,DONE,5,,,,,,,,,,,
warm,12/5/2025,F,CTRL.WTH.161_P3_W,0.0254,CTRL.WTH.23_P3_W,,A.W.225,,DONE,5,,,0,0,0,,1709,,,,
warm,12/5/2025,M,CTRL.WTH.23_P3_W,,CTRL.WTH.161_P3_W,,A.W.225,,DONE,5,,,,,,,,,,,
warm,12/5/2025,F,F2.WARM.WARM_P2_W,0.0154,WARM.WTH.146_P3_W,,W.W.226,,DONE,5,,,0,117,117,,9041,Y,,,
warm,12/5/2025,F,CTRL.WTH.164_P3_W,0.0195,CTRL.WTH.151_P1_W,,A.W.227,,DONE,5,,,10,0,10,,2257,,,,
warm,12/5/2025,M,CTRL.WTH.151_P1_W,,CTRL.WTH.164_P3_W,,A.W.227,,DONE,5,,,,,,,,,,,
warm,12/5/2025,F,CTRL.WTH.153_P1_W,0.0262,CTRL.WTH.146_P3_W,,A.W.228,,DONE,5,,,0,95,95,,3469,Y,,,
warm,12/5/2025,F,WARM.WTH.170_P2_W,0.0149,WARM.WTH.152_P1_W,,W.W.229,,DONE,5,,,0,60,60,,3111,Y,,,
warm,12/5/2025,F,WARM.WTH.117_P4_W,0.0232,WARM.WTH.38_P3_W,,W.W.230,,DONE,5,,,0,41,41,,7223,Y,,,
warm,12/5/2025,M,F6.CTRL.HOT_P1_W,,F7.COOL.HOT_P2_W,,C.H.W.340,,DONE,5,,,,,,,,,,,
warm,12/5/2025,M,HOT.WTH.121_P8_W,,HOT.WTH.64_P1_W,,A.W.313,,DONE,5,,,,,,,,,,,
warm,12/5/2025,M,F4.CTRL.CTRL_P3_W,,CTRL.WTH.94_P1_W,,A.W.314,,DONE,12,,,,,,,,,,,
warm,12/5/2025,M,F7.COOL.WARM_P5_W,,WARM.WTH.154_P2_W,,W.W.299,,DONE,5,,,,,,,,,,,
warm,12/5/2025,M,HOT.WTH.117_P4_W,,HOT.WTH.74_P8_W,,H.W.315,,DONE,12,,,,,,,,,,,
warm,12/5/2025,M,HOT.WTH.13_P2_W,,HOT.WTH.22_P5_w,,H.W.310,,DONE,5,,,,,,,,,,,
warm,12/5/2025,M,HOT.WTH.159_P2_W,,HOT.WTH.148_P5_W,,H.W.301,,DONE,5,,,,,,,,,,,
warm,12/5/2025,M,HOT.WTH.89_P3_W,,HOT.WTH.152_P1_W,,H.W.341,,DONE,12,,,,,,,,,,,
warm,12/5/2025,M,HOT.BLG.15_P6_W,,HOT.MUN.1_P2_W,,H.W.413,,DONE,5,,,,,,,,,,,
cool,12/5/2025,M,CTRL.WTH.139_P8_C,,CTRL.BLG.15_P10_C,,A.C.276,,DONE,11,,,,,,,,,,,
cool,12/5/2025,F,HOT.WTH.16_P2_C,0.0362,HOT.WTH.1_P3_C,,H.C.231,,DONE,11,,,78,0,78,,4034,,,,
cool,12/5/2025,M,CTRL.WTH.48_P5_C,,CTRL.WTH.23_P2_C,,A.C.232,,DONE,11,,,,,,,,,,,
cool,12/5/2025,M,WARM.WTH.89_P9_C,,WARM.WTH.98_P12_C,,W.C.280,,DONE,11,,,,,,,,,,,
cool,12/5/2025,F,CTRL.WTH.23_P2_C,0.0254,CTRL.WTH.48_P5_C,,A.C.232,,DONE,20,,,4,19,23,,3338,,,,
