pupa_id,date,notes,death_date,,,,,,,,,
HOT.WTH.123_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.123_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.114_P7,5/15/2025,,,,,,,,,,,
HOT.WTH.114_P8,5/15/2025,,,,,,,,,,,
HOT.WTH.152_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.152_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.152_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.33_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.155_P6,5/15/2025,,,,,,,,,,,
HOT.WTH.155_P7,5/15/2025,,,,,,,,,,,
HOT.WTH.148_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.148_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.148_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.148_P6,5/15/2025,,,,,,,,,,,
HOT.WTH.104_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.167_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.167_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.167_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.167_P4,5/15/2025,,,,,,,,,,,
HOT.WTH.167_P5,5/15/2025,,,,,,,,,,,
HOT.WTH.160_P1,5/15/2025,,,,,,,,,,,
HOT.WTH.160_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.160_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.89_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.89_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.53_P2,5/15/2025,,,,,,,,,,,
HOT.WTH.53_P3,5/15/2025,,,,,,,,,,,
HOT.WTH.53_P4,5/15/2025,,,,,,,,,,,
