"subclutch.id","site","femaleid","max.hatch","egg.number","tree.id","mat.collection.date","mat.coll.day","treehday","ndvi_halfdate","halfdate","halfslope","treatment"
"HOT.WTH.150","WTH","WTH.150",6,8,"T15",2024-12-11,346,99.5208219374215,64.44444444,101.64964964965,0.038796451698035,"Hot"
"HOT.WTH.151","WTH","WTH.151",9,12,"T20",2024-12-11,346,104.037295159926,66.76676677,103.443443443443,0.0444141206544521,"Hot"
"HOT.WTH.152","WTH","WTH.152",NA,15,"T20",2024-12-11,346,104.037295159926,66.76676677,94.3263263263263,0.208410060872336,"Hot"
"HOT.WTH.153","WTH","WTH.153",13,15,"T3",2024-12-13,348,100.531026342095,62.64664665,99.7277277277277,0.0486046880816117,"Hot"
"HOT.WTH.154","WTH","WTH.154",NA,15,"T3",2024-12-13,348,100.531026342095,62.64664665,94.6026026026026,0.101961482278968,"Hot"
"HOT.WTH.155","WTH","WTH.155",NA,14,"T3",2024-12-13,348,100.531026342095,62.64664665,97.3423423423423,0.0954887255905093,"Hot"
"HOT.WTH.157","WTH","WTH.157",10,15,"T5",2024-12-13,348,96.0456539658214,58.02202202,92.3603603603604,0.0462767363642702,"Hot"
"HOT.WTH.158","WTH","WTH.158",11,15,"T8",2024-12-13,348,96.7072963464517,60.63663664,95.2432432432432,0.0539969743790101,"Hot"
"HOT.WTH.159","WTH","WTH.159",9,15,"T11",2024-12-13,348,98.6583576948369,60.96296296,98.8948948948949,0.0571871769483222,"Hot"
"HOT.WTH.16","WTH","WTH.16",6,8,"T13",2024-11-25,330,98.2351958749806,60.66666667,93.4954954954955,0.0295256905659074,"Hot"
"HOT.WTH.160","WTH","WTH.160",NA,15,"T12",2024-12-13,348,94.3318303824841,58.81481481,96.4604604604605,0.0674407532626758,"Hot"
"HOT.WTH.161","WTH","WTH.161",13,15,"T12",2024-12-13,348,94.3318303824841,58.81481481,103.6996996997,0.0604222551950429,"Hot"
"HOT.WTH.162","WTH","WTH.162",12,15,"T13",2024-12-13,348,98.2351958749806,60.66666667,102.994994994995,0.041516588587829,"Hot"
"HOT.WTH.164","WTH","WTH.164",12,15,"T14",2024-12-13,348,98.3931460949248,62.74074074,105.013013013013,0.0431678722702356,"Hot"
"HOT.WTH.167","WTH","WTH.167",NA,15,"T16",2024-12-13,348,98.358661241837,60.92092092,92.2322322322322,0.0608550801510085,"Hot"
"HOT.WTH.168","WTH","WTH.168",8,11,"T19",2024-12-13,348,102.751112558722,65.08508509,97.2932932932933,0.0478655909135225,"Hot"
"HOT.WTH.17","WTH","WTH.17",11,15,"T18",2024-11-25,330,117.724246440595,73.09309309,86.8738738738739,0.0258477131603963,"Hot"
"HOT.WTH.170","WTH","WTH.170",8,15,"T3",2024-12-16,351,100.531026342095,62.64664665,101.521521521522,0.071407678105562,"Hot"
"HOT.WTH.176","WTH","WTH.176",9,15,"T3",2024-12-18,353,100.531026342095,62.64664665,103.059059059059,0.0470927967482749,"Hot"
"HOT.WTH.179","WTH","WTH.179",9,14,"T12",2024-12-18,353,94.3318303824841,58.81481481,96.8448448448448,0.0555960769615809,"Hot"
"HOT.WTH.22","WTH","WTH.22",NA,15,"T19",2024-11-25,330,102.751112558722,65.08508509,85.2342342342342,0.0468245982324084,"Hot"
"HOT.WTH.23","WTH","WTH.23",NA,15,"T20",2024-11-25,330,104.037295159926,66.76676677,77.7297297297297,0.150541180295017,"Hot"
"HOT.WTH.25","WTH","WTH.25",NA,15,"T4",2024-11-25,330,104.298149373327,61.5955956,85.5495495495495,0.144714035619455,"Hot"
"HOT.WTH.26","WTH","WTH.26",NA,10,"T3",2024-11-25,330,100.531026342095,62.64664665,92.1601601601602,0.0462451419108598,"Hot"
"HOT.WTH.29","WTH","WTH.29",NA,8,"T4",2024-11-25,330,104.298149373327,61.5955956,92.9369369369369,0.0334916870643553,"Hot"
"HOT.WTH.33","WTH","WTH.33",7,8,"T4",2024-11-25,330,104.298149373327,61.5955956,101.393393393393,0.0394347219640442,"Hot"
"HOT.WTH.37","WTH","WTH.37",NA,15,"T13",2024-11-27,332,98.2351958749806,60.66666667,93.1501501501502,0.0412167476411293,"Hot"
"HOT.WTH.38","WTH","WTH.38",6,15,"14128",2024-11-27,332,NA,NA,88.7437437437437,0.0651189659068869,"Hot"
"HOT.WTH.39","WTH","WTH.39",8,15,"T14",2024-11-27,332,98.3931460949248,62.74074074,101.009009009009,0.0444481333085667,"Hot"
"HOT.WTH.41","WTH","WTH.41",12,11,"T4",2024-11-27,332,104.298149373327,61.5955956,95.8198198198198,0.0365023485467655,"Hot"
"HOT.WTH.42","WTH","WTH.42",NA,15,"T17",2024-11-27,332,109.294235771317,70.45045045,91.2712712712713,0.0267133152088892,"Hot"
"HOT.WTH.43","WTH","WTH.43",NA,15,"T4",2024-11-29,334,104.298149373327,61.5955956,88.1351351351351,0.0750901624307273,"Hot"
"HOT.WTH.44","WTH","WTH.44",NA,15,"T4",2024-11-29,334,104.298149373327,61.5955956,85.6336336336336,0.0579296362640329,"Hot"
"HOT.WTH.47","WTH","WTH.47",9,10,"T20",2024-11-29,334,104.037295159926,66.76676677,93.5585585585586,0.0421647164477421,"Hot"
"HOT.WTH.48","WTH","WTH.48",NA,15,"14128",2024-11-29,334,NA,NA,86.8738738738739,0.111382041033713,"Hot"
